Name,Category,Instagram_Username,Instagram_URL,YouTube_URL,Website_URL,Tags
🇬🇧 UK Embassy,Diplomatic,ukinmexico,https://instagram.com/ukinmexico,,,bilateral british diplomatic embassy english-speaking europe foreign-affairs international-relations uk ukinmexico united-kingdom
🇺🇦 Ukraine Embassy,Diplomatic,ukrembassymex,https://instagram.com/ukrembassymex,,,ai artificial-intelligence bilateral diplomatic embassy foreign-affairs innovation international-relations technology ukrembassymex
🇺🇸 USA Embassy,Diplomatic,usembassymex,https://instagram.com/usembassymex,,,bilateral diplomatic embassy english-speaking foreign-affairs international-relations north-america united-states usa usembassymex
🇧🇧 Barbados in Venezuela,Diplomatic,embbarven,https://instagram.com/embbarven,,,barbadian barbados california caracas caribbean commonwealth diplomatic embassy embbarven english-speaking island latin-america los-angeles north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇧🇷 Brazil in Venezuela,Diplomatic,brenvenezuela,https://instagram.com/brenvenezuela,,,brazil brazilian brenvenezuela california caracas caribbean diplomatic embassy english-speaking latin-america los-angeles north-america portuguese portuguese-speaking south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇪🇺 EU in Venezuela,Diplomatic,ueenvenezuela,https://instagram.com/ueenvenezuela,,,california caracas caribbean diplomatic embassy english-speaking eu europe european-union latin-america los-angeles north-america south-america spanish-speaking ueenvenezuela usa ve venezuela venezuelan west-coast
🇫🇷 France in Venezuela,Diplomatic,embafrancia,https://instagram.com/embafrancia,,,california caracas caribbean diplomatic embafrancia embassy english-speaking eu europe france french french-speaking latin-america los-angeles north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast western-europe
🇩🇪 Germany in Venezuela,Diplomatic,alemaniaenvenezuela,https://instagram.com/alemaniaenvenezuela,,,alemaniaenvenezuela california caracas caribbean central-europe diplomatic embassy english-speaking eu europe german german-speaking germany latin-america los-angeles north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇪🇸 Spain in Venezuela,Diplomatic,embespvenezuela,https://instagram.com/embespvenezuela,,,ai artificial-intelligence california caracas caribbean diplomatic embassy embespvenezuela english-speaking eu europe iberian innovation latin-america los-angeles mediterranean north-america south-america spain spanish spanish-speaking technology usa ve venezuela venezuelan west-coast
🇨🇭 Switzerland in Venezuela,Diplomatic,suizaenvenezuela,https://instagram.com/suizaenvenezuela,,,alpine california caracas caribbean diplomatic embassy english-speaking europe latin-america los-angeles neutral north-america south-america spanish-speaking suizaenvenezuela swiss switzerland usa ve venezuela venezuelan west-coast
🇬🇧 UK in Venezuela,Diplomatic,ukinvenezuela,https://instagram.com/ukinvenezuela,,,britain british california caracas caribbean commonwealth diplomatic embassy english-speaking europe latin-america los-angeles north-america south-america spanish-speaking uk ukinvenezuela united-kingdom usa ve venezuela venezuelan west-coast
🇻🇪 Venezuela Embassy,Diplomatic,plenvenezuela,https://instagram.com/plenvenezuela,,,bilateral caribbean diplomatic embassy foreign-affairs international-relations latin-america plenvenezuela south-america spanish-speaking venezuela
🇫🇷 Venezuela in France,Diplomatic,embavefrancia,https://instagram.com/embavefrancia,,,california caribbean diplomatic embassy embavefrancia english-speaking eu europe france french french-speaking latin-america los-angeles north-america paris south-america spanish-speaking usa ve venezuela venezuelan west-coast western-europe
🇮🇹 Venezuela in Italy,Diplomatic,embavenitalia,https://instagram.com/embavenitalia,,,california caribbean diplomatic embassy embavenitalia english-speaking eu europe italian italian-speaking italy latin-america los-angeles mediterranean north-america rome south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇲🇽 Venezuela in Mexico,Diplomatic,embavenmexico,https://instagram.com/embavenmexico,,,california capital caribbean cdmx diplomatic embassy embavenmexico english-speaking latin-america los-angeles mexican mexico mexico-city mx nafta north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇦🇺 Australia in Colombia,Other,ausembco,https://instagram.com/ausembco,,,andean ausembco australia australian co colombia colombian commonwealth english-speaking latin-america oceania pacific south-america spanish-speaking
🇨🇱 Chile in Colombia,Other,echilecolombia,https://instagram.com/echilecolombia,,,andean chile chilean co colombia colombian echilecolombia latin-america pacific south-america southern-cone spanish-speaking
🇺🇸 Colombia Consulate Atlanta,Diplomatic,consuladocolombiaatlanta,https://instagram.com/consuladocolombiaatlanta,,,atlanta consuladocolombiaatlanta consular-services consulate diplomatic english-speaking foreign-affairs georgia international international-relations north-america peach-state southeast united-states usa
🇺🇸 Colombia Consulate Boston,Diplomatic,consuladocolboston,https://instagram.com/consuladocolboston,,,beantown boston consuladocolboston consular-services consulate diplomatic english-speaking foreign-affairs international international-relations massachusetts new-england north-america united-states usa
🇫🇷 Colombia Consulate France,Diplomatic,consuladocolombiafrance,https://instagram.com/consuladocolombiafrance,,,consuladocolombiafrance consular-services consulate diplomatic eu europe foreign-affairs france french-speaking international international-relations western-europe
🇺🇸 Colombia Consulate LA,Diplomatic,consuladocollosangeles,https://instagram.com/consuladocollosangeles,,,consuladocollosangeles consular-services consulate diplomatic english-speaking foreign-affairs international international-relations north-america united-states usa
🇪🇸 Colombia Consulate Madrid,Diplomatic,consuladocolmadrid,https://instagram.com/consuladocolmadrid,,,capital-city consuladocolmadrid consular-services consulate diplomatic eu europe foreign-affairs iberian international international-relations madrid mediterranean spain spanish-speaking villa-y-corte
🇲🇽 Colombia Consulate Mexico,Diplomatic,consuladocolmex,https://instagram.com/consuladocolmex,,,consuladocolmex consular-services consulate diplomatic foreign-affairs international international-relations latin-america mexico nafta north-america spanish-speaking
🇫🇷 Colombia Consulate Paris,Diplomatic,consuladocolparis,https://instagram.com/consuladocolparis,,,capital-city city-of-light consuladocolparis consular-services consulate diplomatic eu europe foreign-affairs france french-speaking international international-relations paris western-europe
🇬🇧 Colombia Consulate,Diplomatic,consuladocollondres,https://instagram.com/consuladocollondres,,,british consuladocollondres consular-services consulate diplomatic english-speaking europe foreign-affairs international international-relations uk united-kingdom
🌍 Colombia Embassy,Diplomatic,embajadadecolombiaen,https://instagram.com/embajadadecolombiaen,,,bilateral diplomatic embajadadecolombiaen embassy foreign-affairs international-relations
🇦🇷 Colombia in Argentina,Diplomatic,embcolombiaenarg,https://instagram.com/embcolombiaenarg,,,andean argentina argentinian buenos-aires co colombia colombian embassy embcolombiaenarg latin-america rio-de-la-plata south-america southern-cone spanish-speaking
🇦🇹 Colombia in Austria,Other,embcolaustria,https://instagram.com/embcolaustria,,,alpine andean austria austrian co colombia colombian embcolaustria eu europe latin-america south-america spanish-speaking
🇨🇦 Colombia in Canada,Other,embajadacolcanada,https://instagram.com/embajadacolcanada,,,andean canada canadian co colombia colombian commonwealth embajadacolcanada english-speaking french-speaking latin-america north-america south-america spanish-speaking
🇩🇰 Colombia in Denmark,Other,colombiaendinamarca,https://instagram.com/colombiaendinamarca,,,andean co colombia colombiaendinamarca colombian danish denmark eu europe latin-america nordic scandinavia south-america spanish-speaking
🇪🇨 Colombia in Ecuador,Other,embcolecuador,https://instagram.com/embcolecuador,,,andean co colombia colombian ecuador ecuadorian embcolecuador latin-america south-america spanish-speaking
🇸🇻 Colombia in El Salvador,Other,emcoles,https://instagram.com/emcoles,,,andean central-america co colombia colombian el-salvador emcoles latin-america salvadoran south-america spanish-speaking
🇫🇷 Colombia in France,Other,embajadacolfra,https://instagram.com/embajadacolfra,,,andean co colombia colombian embajadacolfra eu europe france french french-speaking latin-america south-america spanish-speaking western-europe
🇬🇭 Colombia in Ghana,Diplomatic,embcolghana,https://instagram.com/embcolghana,,,accra africa andean co colombia colombian commonwealth embassy embcolghana ghana ghanaian latin-america south-america spanish-speaking west-africa
🇮🇳 Colombia in India,Diplomatic,embcolindia,https://instagram.com/embcolindia,,,andean asia co colombia colombian commonwealth embassy embcolindia english-speaking india indian latin-america new-delhi south-america south-asia spanish-speaking
🇮🇹 Colombia in Italy,Other,embajadacolombitalia,https://instagram.com/embajadacolombitalia,,,andean co colombia colombian embajadacolombitalia eu europe italian italian-speaking italy latin-america mediterranean south-america spanish-speaking
🇰🇷 Colombia in Korea,Other,embajadacolkor,https://instagram.com/embajadacolkor,,,andean asia co colombia colombian east-asia embajadacolkor korea korean korean-speaking latin-america south-america south-korea spanish-speaking
🇲🇽 Colombia in Mexico,Other,embcolombiamex,https://instagram.com/embcolombiamex,,,andean co colombia colombian embcolombiamex latin-america mexican mexico mx nafta north-america south-america spanish-speaking
🇳🇱 Colombia in Netherlands,Other,embcolnl,https://instagram.com/embcolnl,,,andean benelux california co colombia colombian dutch embcolnl english-speaking eu europe latin-america los-angeles netherlands north-america south-america spanish-speaking usa west-coast
🇵🇦 Colombia in Panama,Other,embajadacolpan,https://instagram.com/embajadacolpan,,,andean central-america co colombia colombian embajadacolpan latin-america panama panamanian south-america spanish-speaking
🇵🇹 Colombia in Portugal,Other,embcolportugal,https://instagram.com/embcolportugal,,,andean co colombia colombian embcolportugal latin-america south-america spanish-speaking
🇩🇴 Colombia in Rep. Dom.,Diplomatic,embcolombiaenrd,https://instagram.com/embcolombiaenrd,,,andean caribbean co colombia colombian dominican-republic embassy embcolombiaenrd island latin-america santo-domingo south-america spanish-speaking
🇪🇸 Colombia in Spain,Other,embajadacolesp,https://instagram.com/embajadacolesp,,,ai andean artificial-intelligence co colombia colombian embajadacolesp eu europe iberian innovation latin-america mediterranean south-america spain spanish spanish-speaking technology
🇨🇭 Colombia in Switzerland,Other,colombiaensuiza,https://instagram.com/colombiaensuiza,,,alpine andean california co colombia colombiaensuiza colombian english-speaking europe latin-america los-angeles neutral north-america south-america spanish-speaking swiss switzerland usa west-coast
🇹🇭 Colombia in Thailand,Diplomatic,embcoltailandia,https://instagram.com/embcoltailandia,,,ai andean artificial-intelligence bangkok california co colombia colombian embassy embcoltailandia english-speaking innovation latin-america los-angeles north-america south-america spanish-speaking technology thailand usa west-coast
🇦🇪 Colombia in UAE,Other,embajadacolombia_eau,https://instagram.com/embajadacolombia_eau,,,andean arab co colombia colombian embajadacolombia-eau embajadacolombia_eau emirates gulf latin-america middle-east south-america spanish-speaking uae
🇬🇧 Colombia in UK,Diplomatic,colombianembassyuk,https://instagram.com/colombianembassyuk,,,andean britain british co colombia colombian colombianembassyuk commonwealth embassy england english-speaking europe latin-america london south-america spanish-speaking uk united-kingdom
🇺🇸 Colombia in USA,Diplomatic,colombiaembassyus,https://instagram.com/colombiaembassyus,,,american andean co colombia colombiaembassyus colombian english-speaking latin-america north-america south-america spanish-speaking united-states usa
🇻🇪 Colombia in Venezuela,Other,embacolombiaenvzla,https://instagram.com/embacolombiaenvzla,,,andean california caribbean co colombia colombian embacolombiaenvzla english-speaking latin-america los-angeles north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇺🇳 Colombia UNESCO,Other,del_colombiaunesco,https://instagram.com/del_colombiaunesco,,,andean co colombia colombian del-colombiaunesco del_colombiaunesco international latin-america multilateral south-america spanish-speaking un united-nations
🇨🇺 Cuba in Colombia,Other,embajadacubacol,https://instagram.com/embajadacubacol,,,andean caribbean co colombia colombian cuba cuban embajadacubacol island latin-america south-america spanish-speaking
🇩🇰 Denmark in Colombia,Other,denmarkincolombia,https://instagram.com/denmarkincolombia,,,andean co colombia colombian danish denmark denmarkincolombia eu europe latin-america nordic scandinavia south-america spanish-speaking
🇩🇰 Denmark in France,Other,denmarkinfrance,https://instagram.com/denmarkinfrance,,,danish denmark denmarkinfrance eu europe france french french-speaking nordic scandinavia western-europe
🇩🇴 Dominican Rep. in Colombia,Other,rdencolombia,https://instagram.com/rdencolombia,,,andean caribbean co colombia colombian dominican-republic island latin-america rdencolombia south-america spanish-speaking
🇫🇷 France in Colombia,Other,francia_en_colombia,https://instagram.com/francia_en_colombia,,,andean co colombia colombian eu europe france francia-en-colombia francia_en_colombia french french-speaking latin-america south-america spanish-speaking western-europe
🇩🇪 Germany in Colombia,Other,alemaniaencolombia,https://instagram.com/alemaniaencolombia,,,alemaniaencolombia andean central-europe co colombia colombian eu europe german german-speaking germany latin-america south-america spanish-speaking
🇬🇹 Guatemala in Colombia,Other,embajadagt_col,https://instagram.com/embajadagt_col,,,andean california central-america co colombia colombian embajadagt-col embajadagt_col english-speaking guatemala guatemala-city guatemalan latin-america los-angeles north-america south-america spanish-speaking usa west-coast
🇮🇳 India in Colombia,Other,indiaincolombia,https://instagram.com/indiaincolombia,,,andean asia co colombia colombian commonwealth english-speaking india indiaincolombia indian latin-america south-america south-asia spanish-speaking
🇮🇪 Ireland in Colombia,Other,irelandcolombia,https://instagram.com/irelandcolombia,,,andean california co colombia colombian english-speaking eu europe ireland irelandcolombia irish latin-america los-angeles north-america south-america spanish-speaking usa west-coast
🇵🇪 Peru in Colombia,Other,embajadadelperuco,https://instagram.com/embajadadelperuco,,,andean co colombia colombian embajadadelperuco latin-america pacific peru peruvian south-america spanish-speaking
🇪🇸 Spain in Colombia,Other,embajadaespcol,https://instagram.com/embajadaespcol,,,ai andean artificial-intelligence co colombia colombian embajadaespcol eu europe iberian innovation latin-america mediterranean south-america spain spanish spanish-speaking technology
🇨🇭 Switzerland in Colombia,Other,embsuizacolombia,https://instagram.com/embsuizacolombia,,,alpine andean california co colombia colombian embsuizacolombia english-speaking europe latin-america los-angeles neutral north-america south-america spanish-speaking swiss switzerland usa west-coast
🇬🇧 UK in Colombia,Other,ukincolombia,https://instagram.com/ukincolombia,,,andean britain british co colombia colombian commonwealth english-speaking europe latin-america south-america spanish-speaking uk ukincolombia united-kingdom
🇨🇱 Colombia Consulate Antofagasta,Diplomatic,consuladocolantofa,https://instagram.com/consuladocolantofa,,,chile consuladocolantofa consular-services consulate diplomatic foreign-affairs international international-relations latin-america pacific south-america southern-cone spanish-speaking
🇲🇽 EU in Mexico,Other,uemexico,https://instagram.com/uemexico,,,eu europe european-union latin-america mexican mexico mx nafta north-america spanish-speaking uemexico
🇺🇸 EU in USA,Other,euintheus,https://instagram.com/euintheus,,,american english-speaking eu euintheus europe european-union north-america united-states usa
🇺🇸 Spain in USA,Other,spainintheusa,https://instagram.com/spainintheusa,,,ai american artificial-intelligence english-speaking eu europe iberian innovation mediterranean north-america spain spainintheusa spanish spanish-speaking technology united-states usa
🇨🇴 Venezuela Consulate Medellín,Diplomatic,consvemedellin,https://instagram.com/consvemedellin,,,andean antioquia city-of-eternal-spring colombia consular-services consulate consvemedellin diplomatic foreign-affairs international international-relations latin-america medellin south-america spanish-speaking
🇨🇴 Venezuela Consulate Riohacha,Diplomatic,consulveneriohacha,https://instagram.com/consulveneriohacha,,,andean brazil cidade-maravilhosa colombia consular-services consulate consulveneriohacha diplomatic foreign-affairs international international-relations latin-america marvelous-city rio-de-janeiro south-america spanish-speaking
🇻🇪 Venezuela Embassy Colombia,Diplomatic,embavecolombia,https://instagram.com/embavecolombia,,,bilateral caribbean diplomatic embassy embavecolombia foreign-affairs international-relations latin-america south-america spanish-speaking venezuela
🇻🇪 Venezuela in Colombia,Other,embavene_col,https://instagram.com/embavene_col,,,andean california caribbean co colombia colombian embavene-col embavene_col english-speaking latin-america los-angeles north-america south-america spanish-speaking usa ve venezuela venezuelan west-coast
🇮🇳 Venezuela in India,Other,embavenez_india,https://instagram.com/embavenez_india,,,asia california caribbean commonwealth embavenez-india embavenez_india english-speaking india indian latin-america los-angeles north-america south-america south-asia spanish-speaking usa ve venezuela venezuelan west-coast
🇫🇷 Alianza Francesa Barranquilla,Other,afbarranquilla,https://instagram.com/afbarranquilla,,,afbarranquilla atlantico barranquilla california caribbean caribbean-coast colombia english-speaking eu europe france french french-speaking golden-gate los-angeles north-america south-america spanish-speaking usa west-coast western-europe
🇫🇷 Alianza Francesa Bogotá,Other,afbogota,https://instagram.com/afbogota,,,afbogota andean bogota capital-city colombia distrito-capital eu europe france french french-speaking south-america spanish-speaking western-europe
🇰🇷 Centro Cultural Coreano,Other,coreacolombia,https://instagram.com/coreacolombia,,,asia coreacolombia cultural east-asia korea korean-speaking south-korea
🎵 Comhaltas Colombia,Cultural,comhaltascolombia,https://instagram.com/comhaltascolombia,,,andean bogota co colombia colombian comhaltascolombia culture irish latin-america music south-america spanish-speaking
🇨🇳 Descubriendo China,Other,descubriendo.china,https://instagram.com/descubriendo.china,,,asia china chinese chinese-speaking descubriendo.china east-asia
🇰🇷 Embajada de Corea,Diplomatic,embajada_corea,https://instagram.com/embajada_corea,,,asia bilateral diplomatic east-asia embajada_corea embassy foreign-affairs international-relations korea korean-speaking south-korea
🇩🇪 Goethe-Institut,Other,goetheinstitut_kolumbien,https://instagram.com/goetheinstitut_kolumbien,,,central-europe eu europe german-speaking germany goetheinstitut-kolumbien goetheinstitut_kolumbien
🇮🇹 Istituto Italiano Bogotá,Other,iicbogota,https://instagram.com/iicbogota,,,andean bogota capital-city colombia distrito-capital eu europe iicbogota italian-speaking italy mediterranean south-america spanish-speaking
🎨 Bogotart,Other,bogotart,https://instagram.com/bogotart,,,andean bogota bogotart capital-city colombia distrito-capital south-america spanish-speaking
🎨 MAMM - Museo Arte Moderno,Cultural,elmamm,https://instagram.com/elmamm,,,art culture education elmamm heritage museum tourism
🎨 MAM Bogotá,Other,mambogota,https://instagram.com/mambogota,,,andean bogota capital-city colombia distrito-capital mambogota south-america spanish-speaking
👩 Museo de la Mujer,Cultural,museodelamujercdmx,https://instagram.com/museodelamujercdmx,,,art culture education heritage museodelamujercdmx museum tourism
🦖 Museo Historia Natural,Cultural,museohnunal,https://instagram.com/museohnunal,,,art culture education heritage museohnunal museum tourism
📚 Archivo General de la Nación,Cultural,agnmex,https://instagram.com/agnmex,,,agnmex archive california culture english-speaking heritage history latin-america los-angeles mexican mexico mexico-city mx nafta national north-america research spanish-speaking usa west-coast
📚 Archivo de Bogotá,Cultural,archivodebogota,https://instagram.com/archivodebogota,,,andean archive archivodebogota bogota capital-city colombia culture distrito-capital heritage history research south-america spanish-speaking
📚 Archivo Histórico Barranquilla,Cultural,archivohistoricobaq,https://instagram.com/archivohistoricobaq,,,archive archivohistoricobaq atlantico barranquilla california caribbean caribbean-coast colombia culture english-speaking golden-gate heritage history los-angeles north-america research south-america spanish-speaking usa west-coast
📚 Biblioteca Luis Ángel Arango,Cultural,bibliotecaluisangelarango,https://instagram.com/bibliotecaluisangelarango,,,bibliotecaluisangelarango books culture education library research
📚 Biblioteca Nacional,Cultural,bibliotecanalco,https://instagram.com/bibliotecanalco,,,bibliotecanalco books culture education library research
📷 La Bogotá de Ayer,Other,labogotadayer,https://instagram.com/labogotadayer,,,andean bogota california capital-city colombia distrito-capital english-speaking labogotadayer los-angeles north-america south-america spanish-speaking usa west-coast
🏺 Instituto Antropología,Education,icanh_co,https://instagram.com/icanh_co,,,academic education icanh-co icanh_co institute research
🌿 Jardín Botánico Bogotá,Other,jardinbotanicodebogota,https://instagram.com/jardinbotanicodebogota,,,andean bogota capital-city colombia distrito-capital jardinbotanicodebogota south-america spanish-speaking
🌿 Jardín Botánico Cartagena,Other,jardinbotanicocartagena,https://instagram.com/jardinbotanicocartagena,,,bolivar caribbean caribbean-coast cartagena coast colombia heroic-city jardinbotanicocartagena south-america spanish-speaking unesco-heritage
🌿 Jardín Botánico Medellín,Other,jardinbotanicomedellin,https://instagram.com/jardinbotanicomedellin,,,antioquia city-of-eternal-spring colombia jardinbotanicomedellin medellin south-america spanish-speaking
🌌 Planetario de Bogotá,Other,planetariobog,https://instagram.com/planetariobog,,,andean bogota california capital-city colombia distrito-capital english-speaking los-angeles north-america planetariobog south-america spanish-speaking usa west-coast
🌌 Planetario de Medellín,Other,planetariomed,https://instagram.com/planetariomed,,,antioquia california city-of-eternal-spring colombia english-speaking los-angeles medellin north-america planetariomed south-america spanish-speaking usa west-coast
🗣️ Berlitz Colombia,Other,berlitzcolombia,https://instagram.com/berlitzcolombia,,,andean berlitzcolombia co colombia colombian latin-america south-america spanish-speaking
🎨 Secretaría de Cultura Bogotá,Other,culturaenbta,https://instagram.com/culturaenbta,,,bogota capital-city colombia culturaenbta cultural distrito-capital
🎭 Festival Teatro Cali,Cultural,fiteatrocali,https://instagram.com/fiteatrocali,,,cali colombia culture entertainment fiteatrocali pacific performing-arts salsa-capital theater valle-del-cauca
🎭 Teatro Nacional,Cultural,fteatronacional,https://instagram.com/fteatronacional,,,culture entertainment fteatronacional performing-arts theater
🎬 Muestra Cine Español,Other,muestracineespanol,https://instagram.com/muestracineespanol,,,muestracineespanol
🏛️ Plaza Mayor Medellín,Government,plazamayormed,https://instagram.com/plazamayormed,,,administration antioquia california city-hall city-of-eternal-spring colombia english-speaking government local-government los-angeles medellin municipality north-america plazamayormed politics south-america spanish-speaking usa west-coast
🎨 SOMA Mexico,Education,somamexico,https://instagram.com/somamexico,,,art education latin-america mexican mexico mexico-city mx nafta north-america somamexico spanish-speaking
🎭 Teatro Metropolitano,Cultural,teatrometropolitano,https://instagram.com/teatrometropolitano,,,culture entertainment performing-arts teatrometropolitano theater
🎓 Centro Posgrados Cauca,Other,unicaucaposgrados,https://instagram.com/unicaucaposgrados,,,unicaucaposgrados
🎓 Universidad de Antioquia,Education,udea,https://instagram.com/udea,,,academic education higher-education research udea university
🎓 Universidad de Barranquilla,Education,unibarranquilla_,https://instagram.com/unibarranquilla_,,,academic atlantico barranquilla caribbean-coast colombia education golden-gate higher-education research unibarranquilla_ university
🎓 Universidad de Cartagena,Education,unicartagena,https://instagram.com/unicartagena,,,academic bolivar caribbean-coast cartagena colombia education heroic-city higher-education research unesco-heritage unicartagena university
🎓 Universidad Del Cauca,Education,universidaddelcauca,https://instagram.com/universidaddelcauca,,,academic education higher-education research universidaddelcauca university
🎓 Universidad Pedagógica,Education,upedagogicanacional,https://instagram.com/upedagogicanacional,,,academic education higher-education research university upedagogicanacional
🎓 Universidad Pontificia Bolivariana,Education,upbcolombia,https://instagram.com/upbcolombia,,,academic education higher-education research university upbcolombia
